Instrument Name,Cash,Futures,Quantity,Capital,Number Of Trade,Max Target % Per Trade,Max Loss Per Stock,Max Profit Per Stock
CRUDEOILM,,TRUE,1,,1,0.1,0.25,0.5
CRUDEOIL,,TRUE,1,,1,0.1,0.25,0.5
ZINCMINI,,TRUE,1,,1,0.1,0.25,0.5
SILVERMIC,,TRUE,1,,1,0.1,0.25,0.5
ZINC,,TRUE,1,,1,0.1,0.25,0.5
COPPER,,TRUE,1,,1,0.1,0.25,0.5
COPPERM,,TRUE,1,,1,0.1,0.25,0.5
LEADMINI,,TRUE,1,,1,0.1,0.25,0.5
NICKEL,,TRUE,1,,1,0.1,0.25,0.5
SILVERM,,TRUE,1,,1,0.1,0.25,0.5
GOLDM,,TRUE,1,,1,0.1,0.25,0.5
ALUMINI,,TRUE,1,,1,0.1,0.25,0.5
SILVER,,TRUE,1,,1,0.1,0.25,0.5
LEAD,,TRUE,1,,1,0.1,0.25,0.5
NATURALGAS,,TRUE,1,,1,0.1,0.25,0.5
GOLD,,TRUE,1,,1,0.1,0.25,0.5
COTTON,,TRUE,1,,1,0.1,0.25,0.5
COTTONREF,,TRUE,1,,1,0.1,0.25,0.5
GOLDPETAL,,TRUE,1,,1,0.1,0.25,0.5
CPO,,TRUE,1,,1,0.1,0.25,0.5
NICKELM,,TRUE,1,,1,0.1,0.25,0.5
MENTHAOIL,,TRUE,1,,1,0.1,0.25,0.5
GOLDGUINEA,,TRUE,1,,1,0.1,0.25,0.5
CARDAMOM,,TRUE,1,,1,0.1,0.25,0.5
